Date,Confirmed,Recovered,Dead
2020-01-22,1,0,0
2020-01-23,1,0,0
2020-01-24,2,0,0
2020-01-25,2,0,0
2020-01-26,5,0,0
2020-01-27,5,0,0
2020-01-28,5,0,0
2020-01-29,6,0,0
2020-01-30,6,0,0
2020-01-31,8,0,0
2020-02-01,8,0,0
2020-02-02,8,0,0
2020-02-03,11,0,0
2020-02-04,11,0,0
2020-02-05,11,0,0
2020-02-06,12,0,0
2020-02-07,12,0,0
2020-02-08,12,0,0
2020-02-09,12,3,0
2020-02-10,12,3,0
2020-02-11,13,3,0
2020-02-12,13,3,0
2020-02-13,14,3,0
2020-02-14,14,3,0
2020-02-15,14,3,0
2020-02-16,14,3,0
2020-02-17,14,3,0
2020-02-18,14,3,0
2020-02-19,14,3,0
2020-02-20,14,3,0
2020-02-21,16,5,0
2020-02-22,16,5,0
2020-02-23,16,5,0
2020-02-24,16,5,0
2020-02-25,16,6,0
2020-02-26,16,6,0
2020-02-27,17,6,0
2020-02-28,17,7,0
2020-02-29,25,7,1
2020-03-01,32,7,1
2020-03-02,54,7,6
2020-03-03,74,7,7
2020-03-04,107,7,11
2020-03-05,184,7,12
2020-03-06,237,7,14
2020-03-07,403,7,17
2020-03-08,519,7,21
2020-03-09,589,7,22
2020-03-10,782,8,28
2020-03-11,1145,8,33
2020-03-12,1584,12,43
2020-03-13,2214,12,51
2020-03-14,2971,12,58
2020-03-15,3211,12,70
2020-03-16,4679,17,97
2020-03-17,6513,17,132
2020-03-18,9153,105,191
2020-03-19,13643,121,265
2020-03-20,20007,147,364
2020-03-21,25991,176,463
2020-03-22,34804,178,573
2020-03-23,45973,178,762
2020-03-24,56571,348,1001
2020-03-25,68583,361,1325
2020-03-26,86495,681,1733
2020-03-27,105103,869,2253
2020-03-28,124701,1072,2886
2020-03-29,143672,2665,3472
2020-03-30,165615,5644,4164
2020-03-31,192048,7024,5249
2020-04-01,217730,8474,6421
2020-04-02,248186,9001,7924
2020-04-03,280173,9707,9316
2020-04-04,313154,14652,10839
2020-04-05,341245,17448,12429
